WorkerId,Answer.essay1,Answer.essay2,job_title,Answer.burnedout,Answer.energized,Answer.engrossed,Answer.fatigued,Answer.frustrated,Answer.intend_look,Answer.intend_stay,Answer.meaningful,Answer.proud,Answer.strong,Answer.time_flies,Answer.want_stay,Org Type,Years Experience,Industry,org_size,ONET1,ONET2,ONET3,Role_level
95,"My favorite part about my job is making sure that the product that gets released to the intended audience is quality. I like going through the ins and the outs of a particular feature, testing every little edge case that the developer didn't think of, or that the business analyst didn't think of. When I find these random issues that no one else thinks of, I feel very good about my job. It's difficult to do that sometimes, because generally when you work in the software industry, you work with smart people. However, not everyone is perfect, so that type of checks and balances is great, and I like being the person with strong responsibility on that front.","I find that I can get laser focused for about an hour at a time. I plug in my headphones, find a time of the day where I won't have any meetings, and get to work for about an hour at a time. After about that point, I start to burn out or start to get distracted. The existence of meetings really throws off my groove, though. I also work a lot better in the morning vs the afternoon. I'm not really sure what it is, and I'm sure there's some scientific reason, but that's how it is for me. I would say that time generally passes by quickly. Either I'm engrossed in my work and I don't notice, or I just keep myself busy anyway with whatever there may be. I generally don't find myself just waiting for the day to end.",Quality Assurance Engineer,A few times a year,Frequently,Sometimes,A few times a month,Monthly,Somewhat Disagree,Agree,Sometimes,Frequently,Frequently,Sometimes,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",3 to 5,Technology,501 to 1000,Computer and Mathematical  ,Computer Occupations,"Software and Web Developers, Programmers, and Testers",Junior Individual Contributor
96,"I really like the team that I work with.  I work in verly close quarters with about six other people  We've developed pretty close relationships.  We share a lot of personal information with each other as well.  All of us are very supportive in our work and personal endeavors. There are times when the work is stressful  and we manage to make it through the day with our unique sense of humor.  When someone is out we also help out with their work load in their absence. One last thing is that some of us do spend stime together socially on a pretty reular basis,","It is never easy for me focus on my work.  Because I work so closely to my team mates, I can't help but hear and see everything that is going on around .  I am particularlty sensitive to sounds around me.  I work on the phones a lot and often find myself covering up my ears when speaking to someone because of the volume in the room.  One worker, however, bothers me the the most, by a very light humming that she does.  It really gets under under my skin, and makes me get off kilter.  I really don't want to tell someone to stop so I just deal with it, but it is very distractingto say the least.",Internet Sales Specialist,A few times a month,Sometimes,Occasionally,A few times a week,A few times a week,Somewhat Disagree,Agree,Rarely,Rarely,Occasionally,Sometimes,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Travel/Transportation,101 to 500,Sales and Related  ,"Sales Representatives, Services","Miscellaneous Sales Representatives, Services",Senior Individual Contributor
97,"i like the independence that comes with it. i like that i do my own planning and execution. my supervisors trust and respect my assessment. in terms of clientele, i like the students i teach because they are motivated. most importantly though, i have a ton of respect for the discipline and especially the subject i teach (calculus). this last one may be the key reason i am still teaching and not pursuing another career.","i actually experience time flying because there is no time to be distracted in the classroom as a teacher, assuming you are doing your job well. i often find myself not being able to respond to correspondences from friends and family for hours, for example, because i am immersed in the teaching or otherwise occupied with meetings or other work related tasks like photocopying and paperwork. it is very easy to focus on my work.",high school teacher,Every week,Sometimes,Sometimes,Every week,select one,Agree,Disagree,Sometimes,Occasionally,Sometimes,Frequently,Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Education,101 to 500,Educational Instruction and Library  ,Other Teachers and Instructors,Miscellaneous Teachers and Instructors,Junior Individual Contributor
98,"What I like most about my current job is the people that I get to work with. This does not count management, but instead just counts a few of my colleagues and the people who I get to supervise. For the majority of the people I supervise, we are all friends. It is a very laid back atmosphere. It is obvious that nobody really enjoys working here, so we do our best to try to get by and make each day bearable. Everyone jokes around and tries to make each other laugh everyday. If it was not for the people I work with, I don't think I could stand going into work everyday.","When I am at work, time tends to pass very slowly. One thing I especially hate is all of the meetings that I have to attend or be on the phone for. If I could just do my job and be left alone by management, the day would go a lot faster for me. Everyday I have one to three meetings. I know what goals our team has, I don't need to be reminded of it daily. I can focus on my job really easily, but the meetings are a constant distraction.",Sales Manager,Every day,Rarely,Rarely,Every day,Every day,Strongly Agree,Disagree,Never,Occasionally,Occasionally,Rarely,Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Manufacturing,5001 to 10000,Sales and Related  ,"Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing",Manager/Supervisor
99,I like that I am not bored at work.  Although I have somewhat of a routine it's not like if I worked on an assembly line where I would be doing the same things everyday.  I like that I have co workers to interact with and I get along with.  I like that I am able to feel like my input to the company is valued and that it is appreciated.  Although I don't have much independent decision making I feel as if I am heard by other in the company.  I don't feel ignored or shoved aside. I feel my job is important and somewhat of the backbone and someone who gets things done behind the scenes.,i concentrate at work without distractions.  when it's time to work i will be focused on what i need to get done and not allow myself to get distracted.  i am not watching the clock for the end of the work day so i am immersed in my work and time goes by quickly.  For instance if I have to write a report I organize my time and begin working on it as soon as I am given the task.  I then work on it for a set amount of time and pace myself and work diligently.  the fact that i like my job helps.  I don't feel imprisoned and eager to go home at the end of the work day.  I feel that most days go by quickly but not so fast that I don't get my to do list completed,administrative assistant ,A few times a year,Sometimes,Frequently,Monthly,A few times a year,Disagree,Agree,Frequently,Occasionally,Sometimes,Always,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Real Estate,<100,Sales and Related  ,Other Sales and Related Workers,Real Estate Brokers and Sales Agents,Junior Individual Contributor
100,I enjoy the problem solving involved in investigating and fixing incidents.  I like the planning and creation of applications to meet a goal.  I also like helping in the installation of new hardware or fixing old problems.  I like the analysis of statistical data to understand where the slowdowns were for customers and trying to streamline them.  In general I enjoy taking the time to think in depth about problems and solutions without a lot of distraction but that rarely seems to occur at work.,"I most often experience time as passing slowly.   This is because the things that I enjoy doing on the technical side of the business are difficult to concentrate on because of competing duties from the customer response, incident response and management side.  Too often I start to work on a project and then will be constantly distracted by incidents that require me to notify management, sit on conference calls that are endless and mostly of little interest to me.   As an example I was modifying a billing application for customers when someone announced that they had a ticket from a customer complaining that their search results for a legal citation were incomplete.   This required me to start running multiple searches to verify the problem.  Since this was beyond my ability to fix I then had to notify the code developers and convene a conference call that I had to sit on and take notes so that I could inform management of progress and impact.   All of this is necessary work but in direct competition for the other parts of my job which were neglected.  I think my position is poorly designed and this should in reality be two separate positions.",Senior Production Support Analyst,Every day,Rarely,Rarely,Every day,Every day,Agree,Disagree,Rarely,Occasionally,Rarely,Rarely,Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,5001 to 10000,Computer and Mathematical  ,Computer Occupations,Computer and Information Analysts,Senior Individual Contributor
101,I like my job becuase I can have a lot of control over what I do and when I do it.  I appreciate that I am able to make decisions to keep the work moving along and not get held up just becuase someone is on vacation.  I also really like that I can work at my own pace so that way I don't get burnt out but I'm also no bored.  Having control over these two things makes work much more enjoyable.  My office is nice and has a window and my coworkers are friendly enough.  I can have some time and privacy to myself and that goes a long way at work.,Most of the time I'm doing work in little parts as it comes in so it becomes very easy for me to get distracted.  But when there is a big project I hunker down and time flies by.  I like this since I get a lot of work done and the workday is over faster.  If I have to run a large compliance report the time passes quickly but if I'm responding to emails individually then time is slow and I get distracted more.,training coordinator,A few times a year,Sometimes,Sometimes,A few times a year,Monthly,Strongly Disagree,Strongly Agree,Never,Rarely,Sometimes,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Government/Non-Profit,1001 to 5000,Office and Administrative Support  ,Other Office and Administrative Support Workers,Data Entry and Information Processing Workers,Senior Individual Contributor
102,"I enjoy the flexible hours I have. Im able to create my own schedule and basically come in and leave whenever I want. I like saving people money on their insurance. Even though Im in sales, im really helping people save money. The feeling of helping someone means a lot to me",The time at work goes very fast. I'm usually busy with people and quoting policies. Im always doing something. Its very easy to focus at work because I create a plan of action and stick with it.,insurance agent,Never,Frequently,Frequently,A few times a year,Never,Somewhat Agree,Somewhat Agree,Nearly Always,Frequently,Frequently,Nearly Always,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Insurance,5001 to 10000,Sales and Related  ,"Sales Representatives, Services",Insurance Sales Agents,Senior Individual Contributor
103,"I enjoy the interaction with each student and learning about their personalities and skills. Sometimes I find out about their hopes and dreams, which gives me more insight to their nature. The best part of my job is when a student ""gets"" it, when suddenly a math concept or reading challenge is achieved or overcome, and the student gets a strong sense of confidence and pride. This is the best part about teaching...knowing that my work has a positive effect and is benefitting the child's life.","I rarely get distracted. My focus is with the student and what they are needing at any particular time in our lesson, which lasts about an hour. I have a specific lesson plan for each session, and it depends on the student's progress as to how much we accomplish each session. Time seems to go faster when I have a particularly bright and involved student, but it doesn't seem to go slowly when I have a student who is having difficulties with reading or learning multiplication or division. It depends on the student and the subject.",tutor/team leader,Never,Frequently,Sometimes,Never,A few times a year,Strongly Disagree,Strongly Agree,Nearly Always,Always,Frequently,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,101 to 500,Educational Instruction and Library  ,Other Teachers and Instructors,Tutors,Senior Individual Contributor
104,"I like talking to people from many different places. where I work I am checking people from all over the country and sometimes from other places around the world. I have met people from Germany, France, Italy, Spain as well as people from all over the U.S.A. I have even started to pick up a little bit of German. I get to help people that have usually been driving for a long while, it feels good to be able to get them a room where they can rest and relax after driving a long way. I like talking to people,","There are times in doing my job that times seems to fly. This usually happens when I am very busy. There are certain times of the year that we are completely booked up because of an event happening in town. It is at this time that time flys. I am so busy checking people in and making next years reservations and answering the phone that I do not get a chance to even look at the clock. time flies by so fast, and the next thing you know there is the next clerk knocking on the door.",night auditor,Never,Nearly Always,Occasionally,Never,A few times a year,Strongly Disagree,Strongly Agree,Always,Always,Nearly Always,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Leisure/Hospitality,10001 to 50000,Sales and Related  ,Retail Sales Workers,Retail Salespersons,Junior Individual Contributor
105,As a cashier I get to see people all day long and interact with them. I love talking to people and see a lot of the regular customers as friends. I love being able to catch up with a customer for a moment or two throughout the day. I also love working with my co-workers. We all get along great and some of them are some of my best friends and it's nice to be able to go to work everyday and work with your best friends and enjoy what you do.,"I feel like the day goes by fast, everyday, and I believe that is because I enjoy what I am doing and the people I am surrounded by each and everyday. I find focusing on my work is not hard for me and I never get distracted, I am always focused when I am working and able to do a good job and do what is expected of me.",Cashier,Never,Always,Always,Never,Never,Strongly Disagree,Strongly Agree,Always,Always,Always,Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Retail,9,Sales and Related  ,Retail Sales Workers,Retail Salespersons,Senior Individual Contributor
106,"I like the fact that the tasks I have to do change all of the time. Until my day starts, I have no idea what i will be doing. I have been in jobs where you have to do the same thing day after day and I got bored rather quickly. I look forward to most days since tasks are always changing. I also like the job I have because it gives me some independence. It is not just a job to me; I actually enjoy myself and that makes all of the difference.","I think it depends on what I am doing. I am a personal assistant and I think that it is easy to get distracted when I am doing things like data mining and data entry since they are so boring. I also create spreadsheets a lot and that can be really boring as well. On the flip side, when i have to make phone calls I am rarely bored since I am in a position where I have to interact with others and stay alert.",Claims Operations Manager,A few times a year,Nearly Always,Nearly Always,A few times a year,A few times a month,Strongly Disagree,Strongly Agree,Always,Always,Nearly Always,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Professional Services,101 to 500,Office and Administrative Support  ,Other Office and Administrative Support Workers,Data Entry and Information Processing Workers,Junior Individual Contributor
107,I enjoy that I get to make a difference in people's lives.  And I especially enjoy that I get to do that through education.  The impact that I make often makes me feel proud and good about my job.  I like that I get to set my schedule.  I also am happy about the people I work with and that I get to work on a variety of things and this makes sure I don’t feel as burned out and still am helping others.,"I experience both time passing quickly and slowly.  I also can focus easily and get distracted easily.  I've certainly worked for hours and felt like very little time was passing, the other day I was finsihing  a project and worked straight through lunch without realizing it.  Other times I’ll work a small amount of time and I’ll feel every bit of it passing.  It is odd and perhaps it has too do with a combination of things that relate to work and how I’m doing personally.",Senior Assessment Specialist ,A few times a month,Occasionally,Occasionally,A few times a month,A few times a week,Agree,Neither Agree nor Disagree,Frequently,Frequently,Occasionally,Occasionally,Neither Agree nor Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,1001 to 5000,Educational Instruction and Library  ,Other Educational Instruction and Library Occupations,Instructional Coordinators,Senior Individual Contributor
108,The thing I like most about my job is the relationships I have with my co-wokers. It seems like our manager had the same idea of the type of person she wanted to hire. We all get along really well and have the same ideas about how work should get done on our team. It also helps that we socialize outside of our jobs which only makes our relationships even stronger. I have never been with a work team that I liked this much.,"When I’m working, time passes on slowly. It is only when we are doing collaborative work that time passes by fast. When I’m doing my solo work, time passes slow because sometimes I’m stuck with tedious tasks that I wish I could just breeze through. I wish the tech team would buy a piece of software to make routine work go by faster. My eyes strain when I have to look at the computer screen and repeat the same boring task over and over.",Sales Rep,A few times a year,Occasionally,Frequently,Monthly,A few times a year,Neither Agree nor Disagree,Somewhat Agree,Occasionally,Occasionally,Occasionally,Occasionally,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Retail,<100,Sales and Related  ,Retail Sales Workers,Retail Salespersons,Junior Individual Contributor
109,"About the only thing I really enjoy about my job is that it's not physically taxing. Sitting around in a chair all the time kinda sucks and I definitely need to get up and stretch/walk around, but it beats doing physical labor. The actual work itself is easy too as I'm a computer nerd anyways so messing around with data/files is easy.",Time goes very very quickly. Even on an average day I multi task quite a bit so you get very caught up in things and do not notice how quickly the day has gone by. Some days the work load is VERY high though and staying focused is a bit hard when you go hours on end without a single break in between.,data entry clerk,Every day,Sometimes,Frequently,Every day,Every day,Strongly Agree,Strongly Disagree,Never,Never,Never,Always,Strongly Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Technology,101 to 500,Office and Administrative Support  ,Information and Record Clerks,Receptionists and Information Clerks,Junior Individual Contributor
110,"I love the challenges I face at my work that help me grow and keep me interested in the job. They are resolving problems or coming up with the better solutions, thinking about what can be done an automation so a person doesn't have to be tied to a certain task.  Most of the tasks that repeat could be automated and the best part about it is that they could run after hours and on the weekends. I also streamline processes and identify the bottlenecks. I am empowered to come up with the solutions and implement them most of the time by the upper management.","When I work time definitely flies. I get so involved in my work that I sometimes lose track of time. When you work on something important and you are so close to a solution you don't want to quit, specially when you can taste it. Sometimes I wonder, if 8-9 hours are even enough but I know they are as I have to balance between my work and the rest of the life. Another plus at work is having some smart and friendly people around, who make my company a desirable place to work. We have a fun culture in our company and people are very helpful.",Senior Programmer,A few times a year,Sometimes,Sometimes,Never,A few times a year,Strongly Disagree,Strongly Agree,Always,Always,Sometimes,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Manufacturing,1001 to 5000,Computer and Mathematical  ,Computer Occupations,"Software and Web Developers, Programmers, and Testers",Manager/Supervisor
111,I like learn new skills like Excel functions. I recently learned how to do index+match searches. I'm currently working on learning macros. I like helping employees and respondents too. It gives me an opportunity to teach and learn as well. I like some of the people I work with too. I like how flexible it can be at times. We have a generous PTO policy and I use it to unwind when work is too frustrating. We also have a nice central location near public transportation.,It's hard to focus. I was waiting for a program to load and automatically grabbed my phone. Time passed and I forgot what I was doing and had to start over. Often i'll put off a task because I know it is tedious and forget it. I am expected to complete a lot of tasks but our systems and procedures prevent me from being as efficient as I would like. So it doesn't feel worth it to focus as I have a lot of idle time.,Call center supervisor,A few times a week,Rarely,Rarely,A few times a week,A few times a week,Agree,Strongly Disagree,Rarely,Never,Rarely,Rarely,Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Government/Non-Profit,10001 to 50000,Office and Administrative Support  ,Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office and Administrative Support Workers,Manager/Supervisor
112,"What I like most about my job is helping people find the solution they are looking for.  When someone comes in and they are overwhelmed by phone choices and they need information to help them make a decision, it is great to have them leave happy.  Having a good interaction with a customer can really make the day feel like a success.  I also like the teamwork at my job, as fellow employees are always willing to lend a helping hand to make normal tasks go as efficiently as possible.","The feeling of time passing either quickly or slowly depends on whether I am engaged with a customer.  When I am helping someone out and trying to find what they need, time seems to go very fast.  During downtime when the store is not busy and I am doing other tasks, time seems to move at a snail's pace.  It is very easy to focus on a customer when they are in store, but extremely easy to get distracted when nothing is going on.",Sales Associate,A few times a year,Sometimes,Sometimes,A few times a month,A few times a year,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Occasionally,Sometimes,Sometimes,Neither Agree nor Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Retail,<100,Sales and Related  ,Retail Sales Workers,Retail Salespersons,Junior Individual Contributor
113,"I like my co-workers and the fact that I am not micromanaged.  I know what my tasks are and I am able to carry them out as I see fit.  I don't have to double-check everything with someone else.  I can use my best judgement in order to ensure that something is done.  I am able to have control over my work area as well and organize things how I see fit.  In regards to my co-workers, I get along with most of them and am always able to ask a question if I need assistance.  We know that we are all in this together and it is best to work well as a team.","Typically I experience time passing slowly.  I am constantly looking at the clock waiting for the day to end.  I easily divide my day into morning, lunch, and afternoon.  Very rarely does time fly by at work.  There is one day every few weeks when I am working on something that requires focus and makes the time go by.  My job is very repetitious and boring.    I have to deal with a lot of interruptions at work which can be annoying and make it difficult to gets taks done in a timely manner.  I can start one tasks which should only take 10 minutes to do easily takes up to one hour.  I will have to stop to help a co-worker deal with a question.  I will then have a patient show up who needs to schedule an appointment.  I will then notice something else that needs to do be dealt with.  I will restart the original task only to get interrupted again to schedule an appointment and/or answer a question.",medical scheduler,Every day,Never,Rarely,Every day,Every day,Agree,Strongly Disagree,Never,Rarely,Never,Rarely,Strongly Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Healthcare,5001 to 10000,Office and Administrative Support  ,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,Junior Individual Contributor
114,I like that I get to work with patients at a hospital and that I get to help the community. I get to see people who come in who are scared and not in the best condition and see them get help and get on the right track to becoming healthy. I like that I get to try to brighten the day of people and that when someone comes in for a knee surgery or any sort of medical reason they get to know they have people who really want to see them doing better and that they will be treated like our top priority.,"I usually have time go by pretty fast while I am work. There aren't too many slow moments, and some times those are nice to be able to sit back and relax for a moment. Each day it seems that I am just arriving and not much longer it is already half way through my shift. I am able to focus at all times on my work, I have to be focused to help patients and the people who come in. I would say the only times I ever get even somewhat distracted is when I have a serious persona issue going on at home, such as finding out a friend has cancer or there has been an accident. I however remained as focused as I can in these situations and have a easy time overall staying on task.",IT manager,Monthly,Frequently,Frequently,A few times a month,Monthly,Strongly Disagree,Strongly Agree,Nearly Always,Nearly Always,Frequently,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Healthcare,10001 to 50000,Computer and Mathematical  ,Computer Occupations,Miscellaneous Computer Occupations,Manager/Supervisor
115,I like the freedom. I can pretty much do things how I see fit. I also like feeling like what I'm doing matters. I like having a flexible schedule. I like having decent co-workers. I like that I don't get too stressed out at my job as well. I enjoy the laid back work environment. I like working with people as opposed to always working alone. I enjoy the job security as well. I enjoy doing something that I feel good at.,"I feel time passing slowly, almost on a daily basis. I'm always looking at the time. I find myself thinking about going home and what I will do when I get home. I don't really get too focused on my work. I'm constantly getting distracted, whether it is by my phone, a patron, or a co-worker. I can never zero in my on work for long enough. I wish I could just plug my headphones in and ignore everything else but my work.",Library Technician,Every week,Rarely,Never,Every day,Every week,Agree,Strongly Disagree,Rarely,Rarely,Rarely,Rarely,Strongly Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,101 to 500,Educational Instruction and Library  ,Other Educational Instruction and Library Occupations,Miscellaneous Educational Instruction and Library Workers,Manager/Supervisor
116,"I work in retail, and I'm pretty good at it. It feels nice to succeed at something. I enjoy the processes and procedures of doing my actual job functions when I am not faced with more problems outside of my control than I can handle. I think a lot of what I do is interesting. The best feeling is probably being able to help someone, though. Knowing that I have brightened a stranger's day, or at the very least made their task easier gives me a feeling of warmth and satisfaction.","Depending on the day, work can seem to really drag by, or go very quickly at other times. Some days, I feel like I cannot focus or get anything done at all. Those are the days when time really drags. On days when I can focus, however, the day seems to zoom past me. When I am really able to throw myself into my work, I am very productive and time passes quickly. Days like that seem to be facilitated if I am able to bring headphones to work and listen to music or podcasts while I work.",retail associate,Every day,Sometimes,Sometimes,Every day,Every day,Strongly Agree,Strongly Disagree,Never,Never,Occasionally,Occasionally,Strongly Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,5001 to 10000,Office and Administrative Support  ,Other Office and Administrative Support Workers,Miscellaneous Office and Administrative Support Workers,Junior Individual Contributor
117,"The flexibility of m job is the best thing about it. I don't need to be present at work other than office hours and lectures. I can start working early in the morning and finish things until afternoon, or I can start working at night. Another think I like about my work is the place of my work. I work in one of the best places to live in the United States.","I have a short attention span. I usually get easily distracted when I work. This happens to me even when I do things I love most, such as photography. It doesn't have to do with my work. My work requires significant level of concentration due to the complexity of issues.",teaching assistant,A few times a year,Sometimes,Sometimes,A few times a year,A few times a year,Strongly Disagree,Strongly Agree,Nearly Always,Nearly Always,Sometimes,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",3 to 5,Education,1001 to 5000,Educational Instruction and Library  ,Other Educational Instruction and Library Occupations,Teaching Assistants,Senior Individual Contributor
118,"I like the flexibility that my job offers. I can go into the office and spend a day or two working from home. It allows me to be there for my children, appointments and eases my burden at home. I like the feedback that my supervisors give me. It really helps with fine tuning my work and understanding exactly what I'm doing. I like the communication between t=my coworkers and I. I feel like I'm part of the team and speaking with them can really make the day go by faster. I can also ask my coworkers for help when I don't understand something.","I often find that time passes slowly. I am constantly looking at the time to calculate how much longer I have to go. I find that I am easily distracted when working and it can be very frustrating. Say I've chosen to be home one day because the kids have the day off. It's hard to concentrate when the kids are making noise, asking me for stuff, constantly talking to me and just wanting me to take care of their needs.","e.g., elementary school teacher",Every week,Never,Sometimes,Every week,Monthly,Strongly Agree,Disagree,Never,Rarely,Never,Rarely,Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Professional Services,501 to 1000,Office and Administrative Support  ,Other Office and Administrative Support Workers,"Office Clerks, General",Junior Individual Contributor
119,"Everyday I come into the office and I know that I will help people resolve problems. The problems that I work with are problems that are presented by technicians and scientists working to monitor, study and improve ambient air quality in conjunction with government agencies. I constantly feel rewarded when a big problem is resolved, or even when someone's day was made better with a simple answer. There is not a day that I feel let down or disappointed or frustrated by my customers and they are constantly asking intelligent and thought provoking questions that require analysis to resolve.","Time is rarely perceived by my at my job. Sometimes a meeting will feel long, or an extremely interesting concept will make time seem to constrict and be shorter. Generally though, I conceive myself as floating in ether. I don't keep very specific hours with the office because I also constantly work from home. Because of this constant effort, I rarely find myself watching the clock - or even noticing it. It's so rare that I care about the time, only family constraints make me watch the time.",Technical Service Manager (software support and project management),A few times a year,Nearly Always,Nearly Always,A few times a year,A few times a month,Strongly Disagree,Strongly Agree,Always,Always,Nearly Always,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,<100,Computer and Mathematical  ,Computer Occupations,"Software and Web Developers, Programmers, and Testers",Middle Manager
120,"I work as a fundraiser at a non-profit theatre. I like seeing most ""how the sausage is made."" I like that I can see the money come in the door and then I can see what it is actually spent on in terms of programming. We provide a lot of education programming to under-served communities and I like that I am helping move the needle ever so slightly by raising funds for this educational programming. The other thing that I really like about working at the theatre is getting to see the actual shows themselves.As a member of the staff, I can enter tickets for myself whenever I'd like to see a show as many times as I'd like. That is a really neat perk.","The short answer is, it depends. Part of my job is meeting with donors and supporters of the theatre. When I have multiple meetings in one day, the day absolutely flies by. I'll look at the clock and all of the sudden it will be 5 and time to go home. However, if I don't have a lot of meetings and I am just doing office work, the day drags on slowly. I get distracted easily working at my desk and find it hard to concentrate on one task. A great example of it moving slowly is when I have to do letter fulfillment, which involves me signing and writing notes on over 100 letters folding and stuffing.  That takes forever.","Development Manager, Individual Giving ",A few times a month,Occasionally,Sometimes,A few times a month,A few times a month,Somewhat Agree,Neither Agree nor Disagree,Sometimes,Nearly Always,Occasionally,Occasionally,Neither Agree nor Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Government/Non-Profit,101 to 500,Office and Administrative Support  ,Other Office and Administrative Support Workers,Miscellaneous Office and Administrative Support Workers,Senior Individual Contributor
121,NA,"Time generally passes quickly because I don't feel like I'm in a rush to be somewhere else. Nor do I have a constant desire to check my phone or computer. I like to relax and watch people as they come and go. The only thing that can distract me sometimes is when there is music playing. I find a lot of music to be both too loud and of too low quality today. I don't know the names of the artists, but a particular example is the ghetto rap heard on the pop radio stations today.",retail/sales,A few times a month,Sometimes,Occasionally,A few times a week,A few times a week,Neither Agree nor Disagree,Neither Agree nor Disagree,Occasionally,Occasionally,Frequently,Sometimes,Neither Agree nor Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,501 to 1000,Sales and Related  ,Retail Sales Workers,Retail Salespersons,Junior Individual Contributor
122,"I enjoy my job because my bosses and coworkers are awesome to work with. My team is great and we have a lot of fun at work. Management makes it a great place to work. We have daily, weekly and monthly contests with prizes. They reward us with stuff like food, parties and promotional products. I also like the work I do. It feels great to be able to help our customers when they need it. I enjoy my conversations with them and look forward to going into work.",I stay busy enough on the phone that the calls are back to back. I usually do not get more than a few seconds between phone calls. It makes the day go by faster though and it keeps me busy. So I do not  mind the busy work day. I actually prefer it to being slow and not having any work because then the day goes by slower and I get bored if I am sitting there with nothing to do.,Customer Service Rep,A few times a year,Frequently,Nearly Always,A few times a year,A few times a year,Disagree,Agree,Rarely,Nearly Always,Frequently,Nearly Always,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Consumer Goods,Do Not Know,Sales and Related  ,Other Sales and Related Workers,Miscellaneous Sales and Related Workers,Senior Individual Contributor
123,"What I like most about my job is the subjective job performance data. Basically, we are judged on our performance as workers by our sales numbers at the end of the day. Variance exists on any given month, but over the course of many months, and after a year, it's clear who the best sales people are and who works the hardest (and who doesn't work as hard). I love being able to work hard and seeing the results of that work, and knowing that no matter how people may want to judge or critique, or hold a personal bias, nothing can take away from your numbers. If you've outperformed other people, it's because you earned it. There is no office politics, campaigning or brown-nosing when you're judged off the right criteria. You're free to be yourself knowing that managers or coworkers aren't going to hold it against you. In sales, they simply want production. It's reminds me of going to school. The teacher may not like you, and you may not be the most popular, and your study habits may be different than others, but at the end of the day, if you earned the highest grade in the class, nobody can look down on you.","Time does pass by quickly because I'm usually very busy and multi-tasking with 3-5 different things at once. There are handfuls of emails coming in every 10 minutes, the phone is ringing, and I'm working on previous orders or quotes that I need to send off. Having all of those things on your plate at once tends to make the time travel quickly. When things do slow down, I enjoy the break from it all but I can get bored easily. It's like, I hate being swamped and feeling busy, but the one good thing is that all the sudden you look up and the day is almost over. Sales jobs tend to always feel like they day goes by quickly. When you're getting paid on partial commission, you don't let yourself get distracted, since you're only hurting yourself.",inside sales representative,Every week,Rarely,Frequently,A few timems a month,Every week,Somewhat Disagree,Agree,Rarely,Rarely,Occasionally,Sometimes,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,101 to 500,Sales and Related  ,Other Sales and Related Workers,Miscellaneous Sales and Related Workers,Junior Individual Contributor
